"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A belépés tesztelése","1672","Hootel Login","test","Mon Nov 03 17:29:39 UTC 2025","passed","Mon Nov 03 17:29:41 UTC 2025","TestHootel","test_hootel","",""
"","1080","test_hotel_list","test","Mon Nov 03 17:29:43 UTC 2025","passed","Mon Nov 03 17:29:44 UTC 2025","TestHootel","test_hootel","",""
